Difficulty, Duration, Deadline, Priority
1,13,30,Low: Level 1
1,13,30,Low: Level 1
1,13,31,Low: Level 1
1,13,31,Low: Level 1
1,14,30,Low: Level 1
1,14,30,Low: Level 1
1,14,30,Low: Level 1
1,14,31,Low: Level 1
1,14,31,Low: Level 1
1,15,30,Low: Level 1
1,15,30,Low: Level 1
1,15,30,Low: Level 1
1,15,31,Low: Level 1
1,15,31,Low: Level 1
1,16,30,Low: Level 1
1,16,30,Low: Level 1
1,16,30,Low: Level 1
1,16,31,Low: Level 1
1,16,31,Low: Level 1
1,17,30,Low: Level 1
1,17,30,Low: Level 1
1,17,30,Low: Level 1
1,17,31,Low: Level 1
1,17,31,Low: Level 1
1,18,30,Low: Level 1
1,18,30,Low: Level 1
1,18,30,Low: Level 1
1,18,31,Low: Level 1
1,18,31,Low: Level 1
1,19,30,Low: Level 1
1,19,30,Low: Level 1
1,19,30,Low: Level 1
1,19,31,Low: Level 1
1,19,31,Low: Level 1
1,20,30,Low: Level 1
1,20,30,Low: Level 1
1,20,30,Low: Level 1
1,20,31,Low: Level 1
1,20,31,Low: Level 1
2,1,30,Low: Level 1
2,1,30,Low: Level 1
2,1,30,Low: Level 1
2,1,31,Low: Level 1
2,1,31,Low: Level 1
2,2,30,Low: Level 1
2,2,30,Low: Level 1
2,2,30,Low: Level 1
2,2,31,Low: Level 1
2,2,31,Low: Level 1
2,3,30,Low: Level 1
2,3,30,Low: Level 1
2,3,30,Low: Level 1
2,3,31,Low: Level 1
2,3,31,Low: Level 1
2,4,30,Low: Level 1
2,4,30,Low: Level 1
2,4,30,Low: Level 1
2,4,31,Low: Level 1
2,4,31,Low: Level 1
2,5,30,Low: Level 1
2,5,30,Low: Level 1
2,5,30,Low: Level 1
2,5,31,Low: Level 1
2,5,31,Low: Level 1
2,6,30,Low: Level 1
2,6,30,Low: Level 1
2,6,30,Low: Level 1
2,6,31,Low: Level 1
2,6,31,Low: Level 1
2,7,30,Low: Level 1
2,7,30,Low: Level 1
2,7,30,Low: Level 1
2,7,31,Low: Level 1
2,7,31,Low: Level 1
2,8,30,Low: Level 1
2,8,30,Low: Level 1
2,8,30,Low: Level 1
2,8,31,Low: Level 1
2,8,31,Low: Level 1
2,9,30,Low: Level 1
2,9,30,Low: Level 1
2,9,30,Low: Level 1
2,9,31,Low: Level 1
2,9,31,Low: Level 1
2,10,30,Low: Level 1
2,10,30,Low: Level 1
2,10,30,Low: Level 1
2,10,31,Low: Level 1
2,10,31,Low: Level 1
2,11,30,Low: Level 1
2,11,30,Low: Level 1
2,11,30,Low: Level 1
2,11,31,Low: Level 1
2,11,31,Low: Level 1
2,12,30,Low: Level 1
2,12,30,Low: Level 1
2,12,30,Low: Level 1
2,12,31,Low: Level 1
2,12,31,Low: Level 1
2,13,30,Low: Level 1
2,13,30,Low: Level 1
2,13,30,Low: Level 1
2,13,31,Low: Level 1
2,13,31,Low: Level 1
2,14,30,Low: Level 1
2,14,30,Low: Level 1
2,14,30,Low: Level 1
2,14,31,Low: Level 1
2,14,31,Low: Level 1
2,15,30,Low: Level 1
2,15,30,Low: Level 1
2,15,30,Low: Level 1
2,15,31,Low: Level 1
2,15,31,Low: Level 1
2,16,30,Low: Level 1
2,16,30,Low: Level 1
2,16,30,Low: Level 1
2,16,31,Low: Level 1
2,16,31,Low: Level 1
2,17,30,Low: Level 1
2,17,30,Low: Level 1
2,17,30,Low: Level 1
2,17,31,Low: Level 1
2,17,31,Low: Level 1
2,18,30,Low: Level 1
2,18,30,Low: Level 1
2,18,30,Low: Level 1
2,18,31,Low: Level 1
2,18,31,Low: Level 1
2,19,30,Low: Level 1
2,19,30,Low: Level 1
2,19,30,Low: Level 1
2,19,31,Low: Level 1
2,19,31,Low: Level 1
2,20,30,Low: Level 1
2,20,30,Low: Level 1
2,20,30,Low: Level 1
2,20,31,Low: Level 1
2,20,31,Low: Level 1
0,1,29,Low: Level 2
0,1,29,Low: Level 2
0,1,29,Low: Level 2
0,1,29,Low: Level 2
0,1,29,Low: Level 2
0,2,29,Low: Level 2
0,2,29,Low: Level 2
0,2,29,Low: Level 2
0,2,29,Low: Level 2
0,2,29,Low: Level 2
0,3,29,Low: Level 2
0,3,29,Low: Level 2
0,3,29,Low: Level 2
0,3,29,Low: Level 2
0,3,29,Low: Level 2
0,4,29,Low: Level 2
0,4,29,Low: Level 2
0,4,29,Low: Level 2
0,4,29,Low: Level 2
0,4,29,Low: Level 2
0,5,29,Low: Level 2
0,5,29,Low: Level 2
0,5,29,Low: Level 2
0,5,29,Low: Level 2
0,5,29,Low: Level 2
0,6,29,Low: Level 2
0,6,29,Low: Level 2
0,6,29,Low: Level 2
0,6,29,Low: Level 2
0,6,29,Low: Level 2
0,7,29,Low: Level 2
0,7,29,Low: Level 2
0,7,29,Low: Level 2
0,7,29,Low: Level 2
0,7,29,Low: Level 2
0,8,29,Low: Level 2
0,8,29,Low: Level 2
0,8,29,Low: Level 2
0,8,29,Low: Level 2
0,8,29,Low: Level 2
0,9,29,Low: Level 2
0,9,29,Low: Level 2
0,9,29,Low: Level 2
0,9,29,Low: Level 2
0,9,29,Low: Level 2
0,10,29,Low: Level 2
0,10,29,Low: Level 2
0,10,29,Low: Level 2
0,10,29,Low: Level 2
0,10,29,Low: Level 2
0,11,29,Low: Level 2
0,11,29,Low: Level 2
0,11,29,Low: Level 2
0,11,29,Low: Level 2
0,11,29,Low: Level 2
0,12,29,Low: Level 2
0,12,29,Low: Level 2
0,12,29,Low: Level 2
0,12,29,Low: Level 2
0,12,29,Low: Level 2
0,13,29,Low: Level 2
0,13,29,Low: Level 2
0,13,29,Low: Level 2
0,13,29,Low: Level 2
0,13,29,Low: Level 2
0,14,29,Low: Level 2
0,14,29,Low: Level 2
0,14,29,Low: Level 2
0,14,29,Low: Level 2
0,14,29,Low: Level 2
0,15,29,Low: Level 2
0,15,29,Low: Level 2
0,15,29,Low: Level 2
0,15,29,Low: Level 2
0,15,29,Low: Level 2
0,16,29,Low: Level 2
0,16,29,Low: Level 2
0,16,29,Low: Level 2
0,16,29,Low: Level 2
0,16,29,Low: Level 2
0,17,29,Low: Level 2
0,17,29,Low: Level 2
0,17,29,Low: Level 2
0,17,29,Low: Level 2
0,17,29,Low: Level 2
0,18,29,Low: Level 2
0,18,29,Low: Level 2
0,18,29,Low: Level 2
0,18,29,Low: Level 2
0,18,29,Low: Level 2
0,19,29,Low: Level 2
0,19,29,Low: Level 2
0,19,29,Low: Level 2
0,19,29,Low: Level 2
0,19,29,Low: Level 2
0,20,29,Low: Level 2
0,20,29,Low: Level 2
0,20,29,Low: Level 2
0,20,29,Low: Level 2
0,20,29,Low: Level 2
1,1,29,Low: Level 2
1,1,29,Low: Level 2
1,1,29,Low: Level 2
1,1,29,Low: Level 2
1,1,29,Low: Level 2
1,2,29,Low: Level 2
1,2,29,Low: Level 2
1,2,29,Low: Level 2
1,2,29,Low: Level 2
1,2,29,Low: Level 2
1,3,29,Low: Level 2
1,3,29,Low: Level 2
1,3,29,Low: Level 2
1,3,29,Low: Level 2
1,3,29,Low: Level 2
1,4,29,Low: Level 2
1,4,29,Low: Level 2
1,4,29,Low: Level 2
1,4,29,Low: Level 2
1,4,29,Low: Level 2
1,5,29,Low: Level 2
1,5,29,Low: Level 2
1,5,29,Low: Level 2
1,5,29,Low: Level 2
1,5,29,Low: Level 2
1,6,29,Low: Level 2
1,6,29,Low: Level 2
1,6,29,Low: Level 2
1,6,29,Low: Level 2
1,6,29,Low: Level 2
1,7,29,Low: Level 2
1,7,29,Low: Level 2
1,7,29,Low: Level 2
1,7,29,Low: Level 2
1,7,29,Low: Level 2
1,8,29,Low: Level 2
1,8,29,Low: Level 2
1,8,29,Low: Level 2
1,8,29,Low: Level 2
1,8,29,Low: Level 2
1,9,29,Low: Level 2
1,9,29,Low: Level 2
1,9,29,Low: Level 2
1,9,29,Low: Level 2
1,9,29,Low: Level 2
1,10,29,Low: Level 2
1,10,29,Low: Level 2
1,10,29,Low: Level 2
1,10,29,Low: Level 2
1,10,29,Low: Level 2
1,11,29,Low: Level 2
1,11,29,Low: Level 2
1,11,29,Low: Level 2
1,11,29,Low: Level 2
1,11,29,Low: Level 2
1,12,29,Low: Level 2
1,12,29,Low: Level 2
1,12,29,Low: Level 2
1,12,29,Low: Level 2
1,12,29,Low: Level 2
1,13,29,Low: Level 2
1,13,29,Low: Level 2
1,13,29,Low: Level 2
1,13,29,Low: Level 2
1,13,29,Low: Level 2
1,14,29,Low: Level 2
1,14,29,Low: Level 2
1,14,29,Low: Level 2
1,14,29,Low: Level 2
1,14,29,Low: Level 2
1,15,29,Low: Level 2
1,15,29,Low: Level 2
1,15,29,Low: Level 2
1,15,29,Low: Level 2
1,15,29,Low: Level 2
1,16,29,Low: Level 2
1,16,29,Low: Level 2
1,16,29,Low: Level 2
1,16,29,Low: Level 2
1,16,29,Low: Level 2
1,17,29,Low: Level 2
1,17,29,Low: Level 2
1,17,29,Low: Level 2
1,17,29,Low: Level 2
1,17,29,Low: Level 2
1,18,29,Low: Level 2
1,18,29,Low: Level 2
1,18,29,Low: Level 2
1,18,29,Low: Level 2
1,18,29,Low: Level 2
1,19,29,Low: Level 2
1,19,29,Low: Level 2
1,19,29,Low: Level 2
1,19,29,Low: Level 2
1,19,29,Low: Level 2
1,20,29,Low: Level 2
1,20,29,Low: Level 2
1,20,29,Low: Level 2
1,20,29,Low: Level 2
1,20,29,Low: Level 2
2,1,29,Low: Level 2
2,1,29,Low: Level 2
2,1,29,Low: Level 2
2,1,29,Low: Level 2
2,1,29,Low: Level 2
2,2,29,Low: Level 2
2,2,29,Low: Level 2
2,2,29,Low: Level 2
2,2,29,Low: Level 2
2,2,29,Low: Level 2
2,3,29,Low: Level 2
2,3,29,Low: Level 2
2,3,29,Low: Level 2
2,3,29,Low: Level 2
2,3,29,Low: Level 2
2,4,29,Low: Level 2
2,4,29,Low: Level 2
2,4,29,Low: Level 2
2,4,29,Low: Level 2
2,4,29,Low: Level 2
2,5,29,Low: Level 2
2,5,29,Low: Level 2
2,5,29,Low: Level 2
2,5,29,Low: Level 2
2,5,29,Low: Level 2
2,6,29,Low: Level 2
2,6,29,Low: Level 2
2,6,29,Low: Level 2
2,6,29,Low: Level 2
2,6,29,Low: Level 2
2,7,29,Low: Level 2
2,7,29,Low: Level 2
2,7,29,Low: Level 2
2,7,29,Low: Level 2
2,7,29,Low: Level 2
2,8,29,Low: Level 2
2,8,29,Low: Level 2
2,8,29,Low: Level 2
2,8,29,Low: Level 2
2,8,29,Low: Level 2
2,9,29,Low: Level 2
2,9,29,Low: Level 2
2,9,29,Low: Level 2
2,9,29,Low: Level 2
2,9,29,Low: Level 2
2,10,29,Low: Level 2
2,10,29,Low: Level 2
2,10,29,Low: Level 2
2,10,29,Low: Level 2
2,10,29,Low: Level 2
2,11,29,Low: Level 2
2,11,29,Low: Level 2
2,11,29,Low: Level 2
2,11,29,Low: Level 2
2,11,29,Low: Level 2
2,12,29,Low: Level 2
2,12,29,Low: Level 2
2,12,29,Low: Level 2
2,12,29,Low: Level 2
2,12,29,Low: Level 2
2,13,29,Low: Level 2
2,13,29,Low: Level 2
2,13,29,Low: Level 2
2,13,29,Low: Level 2
2,13,29,Low: Level 2
2,14,29,Low: Level 2
2,14,29,Low: Level 2
2,14,29,Low: Level 2
2,14,29,Low: Level 2
2,14,29,Low: Level 2
2,15,29,Low: Level 2
2,15,29,Low: Level 2
2,15,29,Low: Level 2
2,15,29,Low: Level 2
2,15,29,Low: Level 2
2,16,29,Low: Level 2
2,16,29,Low: Level 2
2,16,29,Low: Level 2
2,16,29,Low: Level 2
2,16,29,Low: Level 2
2,17,29,Low: Level 2
2,17,29,Low: Level 2
2,17,29,Low: Level 2
2,17,29,Low: Level 2
2,17,29,Low: Level 2
2,18,29,Low: Level 2
2,18,29,Low: Level 2
2,18,29,Low: Level 2
2,18,29,Low: Level 2
2,18,29,Low: Level 2
2,19,29,Low: Level 2
2,19,29,Low: Level 2
2,19,29,Low: Level 2
2,19,29,Low: Level 2
2,19,29,Low: Level 2
2,20,29,Low: Level 2
2,20,29,Low: Level 2
2,20,29,Low: Level 2
2,20,29,Low: Level 2
2,20,29,Low: Level 2
0,1,28,Low: Level 3
0,1,28,Low: Level 3
0,1,28,Low: Level 3
0,1,28,Low: Level 3
0,1,28,Low: Level 3
0,2,28,Low: Level 3
0,2,28,Low: Level 3
0,2,28,Low: Level 3
0,2,28,Low: Level 3
0,2,28,Low: Level 3
0,3,28,Low: Level 3
0,3,28,Low: Level 3
0,3,28,Low: Level 3
0,3,28,Low: Level 3
0,3,28,Low: Level 3
0,4,28,Low: Level 3
0,4,28,Low: Level 3
0,4,28,Low: Level 3
0,4,28,Low: Level 3
0,4,28,Low: Level 3
0,5,28,Low: Level 3
0,5,28,Low: Level 3
0,5,28,Low: Level 3
0,5,28,Low: Level 3
0,5,28,Low: Level 3
0,6,28,Low: Level 3
0,6,28,Low: Level 3
0,6,28,Low: Level 3
0,6,28,Low: Level 3
0,6,28,Low: Level 3
0,7,28,Low: Level 3
0,7,28,Low: Level 3
0,7,28,Low: Level 3
0,7,28,Low: Level 3
0,7,28,Low: Level 3
0,8,28,Low: Level 3
0,8,28,Low: Level 3
0,8,28,Low: Level 3
0,8,28,Low: Level 3
0,8,28,Low: Level 3
0,9,28,Low: Level 3
0,9,28,Low: Level 3
0,9,28,Low: Level 3
0,9,28,Low: Level 3
0,9,28,Low: Level 3
0,10,28,Low: Level 3
0,10,28,Low: Level 3
0,10,28,Low: Level 3
0,10,28,Low: Level 3
0,10,28,Low: Level 3
0,11,28,Low: Level 3
0,11,28,Low: Level 3
0,11,28,Low: Level 3
0,11,28,Low: Level 3
0,11,28,Low: Level 3
0,12,28,Low: Level 3
0,12,28,Low: Level 3
0,12,28,Low: Level 3
0,12,28,Low: Level 3
0,12,28,Low: Level 3
0,13,28,Low: Level 3
0,13,28,Low: Level 3
0,13,28,Low: Level 3
0,13,28,Low: Level 3
0,13,28,Low: Level 3
0,14,28,Low: Level 3
0,14,28,Low: Level 3
0,14,28,Low: Level 3
0,14,28,Low: Level 3
0,14,28,Low: Level 3
0,15,28,Low: Level 3
0,15,28,Low: Level 3
0,15,28,Low: Level 3
0,15,28,Low: Level 3
0,15,28,Low: Level 3
0,16,28,Low: Level 3
0,16,28,Low: Level 3
0,16,28,Low: Level 3
0,16,28,Low: Level 3
0,16,28,Low: Level 3
0,17,28,Low: Level 3
0,17,28,Low: Level 3
0,17,28,Low: Level 3
0,17,28,Low: Level 3
0,17,28,Low: Level 3
0,18,28,Low: Level 3
0,18,28,Low: Level 3
0,18,28,Low: Level 3
0,18,28,Low: Level 3
0,18,28,Low: Level 3
0,19,28,Low: Level 3
0,19,28,Low: Level 3
0,19,28,Low: Level 3
0,19,28,Low: Level 3
0,19,28,Low: Level 3
0,20,28,Low: Level 3
0,20,28,Low: Level 3
0,20,28,Low: Level 3
0,20,28,Low: Level 3
0,20,28,Low: Level 3
1,1,28,Low: Level 3
1,1,28,Low: Level 3
1,1,28,Low: Level 3
1,1,28,Low: Level 3
1,1,28,Low: Level 3
1,2,28,Low: Level 3
1,2,28,Low: Level 3
1,2,28,Low: Level 3
1,2,28,Low: Level 3
1,2,28,Low: Level 3
1,3,28,Low: Level 3
1,3,28,Low: Level 3
1,3,28,Low: Level 3
1,3,28,Low: Level 3
1,3,28,Low: Level 3
1,4,28,Low: Level 3
1,4,28,Low: Level 3
1,4,28,Low: Level 3
1,4,28,Low: Level 3
1,4,28,Low: Level 3
1,5,28,Low: Level 3
1,5,28,Low: Level 3
1,5,28,Low: Level 3
1,5,28,Low: Level 3
1,5,28,Low: Level 3
1,6,28,Low: Level 3
1,6,28,Low: Level 3
1,6,28,Low: Level 3
1,6,28,Low: Level 3
1,6,28,Low: Level 3
1,7,28,Low: Level 3
1,7,28,Low: Level 3
1,7,28,Low: Level 3
1,7,28,Low: Level 3
1,7,28,Low: Level 3
1,8,28,Low: Level 3
1,8,28,Low: Level 3
1,8,28,Low: Level 3
1,8,28,Low: Level 3
1,8,28,Low: Level 3
1,9,28,Low: Level 3
1,9,28,Low: Level 3
1,9,28,Low: Level 3
1,9,28,Low: Level 3
1,9,28,Low: Level 3
1,10,28,Low: Level 3
1,10,28,Low: Level 3
1,10,28,Low: Level 3
1,10,28,Low: Level 3
1,10,28,Low: Level 3
1,11,28,Low: Level 3
1,11,28,Low: Level 3
1,11,28,Low: Level 3
1,11,28,Low: Level 3
1,11,28,Low: Level 3
1,12,28,Low: Level 3
1,12,28,Low: Level 3
1,12,28,Low: Level 3
1,12,28,Low: Level 3
1,12,28,Low: Level 3
1,13,28,Low: Level 3
1,13,28,Low: Level 3
1,13,28,Low: Level 3
1,13,28,Low: Level 3
1,13,28,Low: Level 3
1,14,28,Low: Level 3
1,14,28,Low: Level 3
1,14,28,Low: Level 3
1,14,28,Low: Level 3
1,14,28,Low: Level 3
1,15,28,Low: Level 3
1,15,28,Low: Level 3
1,15,28,Low: Level 3
1,15,28,Low: Level 3
1,15,28,Low: Level 3
1,16,28,Low: Level 3
1,16,28,Low: Level 3
1,16,28,Low: Level 3
1,16,28,Low: Level 3
1,16,28,Low: Level 3
1,17,28,Low: Level 3
1,17,28,Low: Level 3
1,17,28,Low: Level 3
1,17,28,Low: Level 3
1,17,28,Low: Level 3
1,18,28,Low: Level 3
1,18,28,Low: Level 3
1,18,28,Low: Level 3
1,18,28,Low: Level 3
1,18,28,Low: Level 3
1,19,28,Low: Level 3
1,19,28,Low: Level 3
1,19,28,Low: Level 3
1,19,28,Low: Level 3
1,19,28,Low: Level 3
1,20,28,Low: Level 3
1,20,28,Low: Level 3
1,20,28,Low: Level 3
1,20,28,Low: Level 3
1,20,28,Low: Level 3
2,1,28,Low: Level 3
2,1,28,Low: Level 3
2,1,28,Low: Level 3
2,1,28,Low: Level 3
2,1,28,Low: Level 3
2,2,28,Low: Level 3
2,2,28,Low: Level 3
2,2,28,Low: Level 3
2,2,28,Low: Level 3
2,2,28,Low: Level 3
2,3,28,Low: Level 3
2,3,28,Low: Level 3
2,3,28,Low: Level 3
2,3,28,Low: Level 3
2,3,28,Low: Level 3
2,4,28,Low: Level 3
2,4,28,Low: Level 3
2,4,28,Low: Level 3
2,4,28,Low: Level 3
2,4,28,Low: Level 3
2,5,28,Low: Level 3
2,5,28,Low: Level 3
2,5,28,Low: Level 3
2,5,28,Low: Level 3
2,5,28,Low: Level 3
2,6,28,Low: Level 3
2,6,28,Low: Level 3
2,6,28,Low: Level 3
2,6,28,Low: Level 3
2,6,28,Low: Level 3
2,7,28,Low: Level 3
2,7,28,Low: Level 3
2,7,28,Low: Level 3
2,7,28,Low: Level 3
2,7,28,Low: Level 3
2,8,28,Low: Level 3
2,8,28,Low: Level 3
2,8,28,Low: Level 3
2,8,28,Low: Level 3
2,8,28,Low: Level 3
2,9,28,Low: Level 3
2,9,28,Low: Level 3
2,9,28,Low: Level 3
2,9,28,Low: Level 3
2,9,28,Low: Level 3
2,10,28,Low: Level 3
2,10,28,Low: Level 3
2,10,28,Low: Level 3
2,10,28,Low: Level 3
2,10,28,Low: Level 3
2,11,28,Low: Level 3
2,11,28,Low: Level 3
2,11,28,Low: Level 3
2,11,28,Low: Level 3
2,11,28,Low: Level 3
2,12,28,Low: Level 3
2,12,28,Low: Level 3
2,12,28,Low: Level 3
2,12,28,Low: Level 3
2,12,28,Low: Level 3
2,13,28,Low: Level 3
2,13,28,Low: Level 3
2,13,28,Low: Level 3
2,13,28,Low: Level 3
2,13,28,Low: Level 3
2,14,28,Low: Level 3
2,14,28,Low: Level 3
2,14,28,Low: Level 3
2,14,28,Low: Level 3
2,14,28,Low: Level 3
2,15,28,Low: Level 3
2,15,28,Low: Level 3
2,15,28,Low: Level 3
2,15,28,Low: Level 3
2,15,28,Low: Level 3
2,16,28,Low: Level 3
2,16,28,Low: Level 3
2,16,28,Low: Level 3
2,16,28,Low: Level 3
2,16,28,Low: Level 3
2,17,28,Low: Level 3
2,17,28,Low: Level 3
2,17,28,Low: Level 3
2,17,28,Low: Level 3
2,17,28,Low: Level 3
2,18,28,Low: Level 3
2,18,28,Low: Level 3
2,18,28,Low: Level 3
2,18,28,Low: Level 3
2,18,28,Low: Level 3
2,19,28,Low: Level 3
2,19,28,Low: Level 3
2,19,28,Low: Level 3
2,19,28,Low: Level 3
2,19,28,Low: Level 3
2,20,28,Low: Level 3
2,20,28,Low: Level 3
2,20,28,Low: Level 3
2,20,28,Low: Level 3
2,20,28,Low: Level 3
0,1,27,Low: Level 4
0,1,27,Low: Level 4
0,1,27,Low: Level 4
0,1,27,Low: Level 4
0,1,27,Low: Level 4
0,2,27,Low: Level 4
0,2,27,Low: Level 4
0,2,27,Low: Level 4
0,2,27,Low: Level 4
0,2,27,Low: Level 4
0,3,27,Low: Level 4
0,3,27,Low: Level 4
0,3,27,Low: Level 4
0,3,27,Low: Level 4
0,3,27,Low: Level 4
0,4,27,Low: Level 4
0,4,27,Low: Level 4
0,4,27,Low: Level 4
0,4,27,Low: Level 4
0,4,27,Low: Level 4
0,5,27,Low: Level 4
0,5,27,Low: Level 4
0,5,27,Low: Level 4
0,5,27,Low: Level 4
0,5,27,Low: Level 4
0,6,27,Low: Level 4
0,6,27,Low: Level 4
0,6,27,Low: Level 4
0,6,27,Low: Level 4
0,6,27,Low: Level 4
0,7,27,Low: Level 4
0,7,27,Low: Level 4
0,7,27,Low: Level 4
0,7,27,Low: Level 4
0,7,27,Low: Level 4
0,8,27,Low: Level 4
0,8,27,Low: Level 4
0,8,27,Low: Level 4
0,8,27,Low: Level 4
0,8,27,Low: Level 4
0,9,27,Low: Level 4
0,9,27,Low: Level 4
0,9,27,Low: Level 4
0,9,27,Low: Level 4
0,9,27,Low: Level 4
0,10,27,Low: Level 4
0,10,27,Low: Level 4
0,10,27,Low: Level 4
0,10,27,Low: Level 4
0,10,27,Low: Level 4
0,11,27,Low: Level 4
0,11,27,Low: Level 4
0,11,27,Low: Level 4
0,11,27,Low: Level 4
0,11,27,Low: Level 4
0,12,27,Low: Level 4
0,12,27,Low: Level 4
0,12,27,Low: Level 4
0,12,27,Low: Level 4
0,12,27,Low: Level 4
0,13,27,Low: Level 4
0,13,27,Low: Level 4
0,13,27,Low: Level 4
0,13,27,Low: Level 4
0,13,27,Low: Level 4
0,14,27,Low: Level 4
0,14,27,Low: Level 4
0,14,27,Low: Level 4
0,14,27,Low: Level 4
0,14,27,Low: Level 4
0,15,27,Low: Level 4
0,15,27,Low: Level 4
0,15,27,Low: Level 4
0,15,27,Low: Level 4
0,15,27,Low: Level 4
0,16,27,Low: Level 4
0,16,27,Low: Level 4
0,16,27,Low: Level 4
0,16,27,Low: Level 4
0,16,27,Low: Level 4
0,17,27,Low: Level 4
0,17,27,Low: Level 4
0,17,27,Low: Level 4
0,17,27,Low: Level 4
0,17,27,Low: Level 4
0,18,27,Low: Level 4
0,18,27,Low: Level 4
0,18,27,Low: Level 4
0,18,27,Low: Level 4
0,18,27,Low: Level 4
0,19,27,Low: Level 4
0,19,27,Low: Level 4
0,19,27,Low: Level 4
0,19,27,Low: Level 4
0,19,27,Low: Level 4
0,20,27,Low: Level 4
0,20,27,Low: Level 4
